,ACTION,TAXONOMY,PRICE_FORMING_CONTINUATION_DATA,CLEARED,INDICATION_OF_COLLATERALIZATION,PRICE_NOTATION,ROUNDED_NOTIONAL_AMOUNT_1,z_PRICE_NOTATION,PRICE_NOTATION_BIN,z_ROUNDED_NOTIONAL_AMOUNT_1,ROUNDED_NOTIONAL_AMOUNT_1_BIN
177336,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.7575,100000000.0,0.21684205502736753,"(0.721, 1.442]",0.7137795728062993,"(99000002.75, 101200002.7]"
177343,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.72125,100000000.0,0.21847324894410192,"(-0.0721, 0.721]",0.7137795728062993,"(99000002.75, 101200002.7]"
177402,NEW,Credit:Index:CDX:CDXIG,Trade,U,FC,0.755,50000000.0,0.21695455115955614,"(0.721, 1.442]",0.17658309557795995,"(48400003.9, 50600003.85]"
177406,NEW,Credit:Index:CDX:CDXIG,Trade,U,UC,0.76,9000000.0,0.216729558895179,"(0.721, 1.442]",0.9066804836530525,"(8800004.8, 11000004.75]"
177408,NEW,Credit:Index:CDX:CDXIG,Trade,C,UC,0.6,200000000.0,0.22392931135524777,"(-0.0721, 0.721]",2.4945049095748177,"(198000000.5, 200200000.45]"
177425,NEW,Credit:Index:CDX:CDXHY,Trade,C,FC,5.0,90000000.0,0.02593611870335625,"(4.328, 5.049]",0.5357070391294475,"(88000003.0, 90200002.95]"
177440,NEW,Credit:Index:CDX:CDXIG,Trade,C,UC,0.6,130000000.0,0.22392931135524777,"(-0.0721, 0.721]",1.2479971738368547,"(129800002.05, 132000002.0]"
177466,NEW,Credit:Index:CDX:CDXIG,Trade,C,UC,0.76,21000000.0,0.216729558895179,"(0.721, 1.442]",0.6929934432408303,"(19800004.55, 22000004.5]"
177543,NEW,Credit:Index:CDX:CDXIG,Trade,U,FC,0.75,54000000.0,0.21717954342393328,"(0.721, 1.442]",0.10535408210721921,"(52800003.8, 55000003.75]"
177561,CORRECT,Credit:Index:CDX:CDXIG,Trade,C,FC,0.74,110000000.0,0.21762952795268756,"(0.721, 1.442]",0.8918521064831512,"(107800002.55, 110000002.5]"
177606,NEW,Credit:Index:CDX:CDXIG,Trade,C,FC,0.75,110000000.0,0.21717954342393328,"(0.721, 1.442]",0.8918521064831512,"(107800002.55, 110000002.5]"
177740,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.62,110000000.0,0.22302934229773916,"(-0.0721, 0.721]",0.8918521064831512,"(107800002.55, 110000002.5]"
177752,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.621875,50000000.0,0.22294497019859774,"(-0.0721, 0.721]",0.17658309557795995,"(48400003.9, 50600003.85]"
177754,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.621875,75000000.0,0.22294497019859774,"(-0.0721, 0.721]",0.2685982386141697,"(74800003.3, 77000003.25]"
177783,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.62125,25000000.0,0.22297309423164488,"(-0.0721, 0.721]",0.6217644297700896,"(24200004.45, 26400004.4]"
177812,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.625,110000000.0,0.22280435003336202,"(-0.0721, 0.721]",0.8918521064831512,"(107800002.55, 110000002.5]"
177824,NEW,Credit:Index:CDX:CDXIG,Novation,U,PC,0.62,3000000.0,0.22302934229773916,"(-0.0721, 0.721]",1.0135240038591637,"(2200004.95, 4400004.9]"
177826,CANCEL,Credit:Index:CDX:CDXIG,Novation,U,PC,0.62,3000000.0,0.22302934229773916,"(-0.0721, 0.721]",1.0135240038591637,"(2200004.95, 4400004.9]"
177828,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.621875,100000000.0,0.22294497019859774,"(-0.0721, 0.721]",0.7137795728062993,"(99000002.75, 101200002.7]"
177884,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.629375,100000000.0,0.22260748180203202,"(-0.0721, 0.721]",0.7137795728062993,"(99000002.75, 101200002.7]"
177888,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.629375,100000000.0,0.22260748180203202,"(-0.0721, 0.721]",0.7137795728062993,"(99000002.75, 101200002.7]"
177930,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.62625,100000000.0,0.22274810196726774,"(-0.0721, 0.721]",0.7137795728062993,"(99000002.75, 101200002.7]"
177948,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.619375,25000000.0,0.22305746633078632,"(-0.0721, 0.721]",0.6217644297700896,"(24200004.45, 26400004.4]"
177951,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.619375,100000000.0,0.22305746633078632,"(-0.0721, 0.721]",0.7137795728062993,"(99000002.75, 101200002.7]"
177960,NEW,Credit:Index:CDX:CDXIG,Trade,U,FC,0.54,110000000.0,0.22662921852777357,"(-0.0721, 0.721]",0.8918521064831512,"(107800002.55, 110000002.5]"
177962,NEW,Credit:Index:CDX:CDXIG,Partialtermination,U,PC,0.6199020000000001,5000000.0,0.22303375214612098,"(-0.0721, 0.721]",0.9779094971237934,"(4400004.9, 6600004.85]"
177963,CANCEL,Credit:Index:CDX:CDXIG,Trade,U,PC,0.6199020000000001,5000000.0,0.22303375214612098,"(-0.0721, 0.721]",0.9779094971237934,"(4400004.9, 6600004.85]"
178016,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.620625,25000000.0,0.223001218264692,"(-0.0721, 0.721]",0.6217644297700896,"(24200004.45, 26400004.4]"
